x	y	time	xaccel	yaccel	cumulative_time
0.000000000	0.000000000	0.040999889	0.000000000	-0.600000024	0.040999889
0.012682637	0.012682637	0.023000002	0.280000001	-0.790000021	0.063999891
0.179981355	0.179981355	0.023000002	4.510000229	3.230000019	0.086999893
0.353845296	0.353845296	0.020999908	4.469999790	-2.710000038	0.107999801
0.644314745	0.644314745	0.019999981	5.710000038	-1.070000052	0.127999782
1.057953983	1.057953983	0.019999981	3.289999962	-0.449999988	0.147999763
1.522391513	1.522391513	0.019999981	4.929999828	-1.389999986	0.167999744
2.020307850	2.020307850	0.020999908	0.589999974	2.599999905	0.188999652
2.657527043	2.657527043	0.023000002	2.819999933	-2.670000076	0.211999654
3.351782294	3.351782294	0.026999950	1.470000029	0.610000014	0.238999604
4.313941004	4.313941004	0.020999908	-1.429999948	3.000000000	0.259999512
5.029198666	5.029198666	0.023000002	1.620000005	-1.690000057	0.282999514
5.944340172	5.944340172	0.023999929	3.220000029	-0.540000021	0.306999443
6.929097898	6.929097898	0.023000002	0.490000010	-3.470000029	0.329999445
7.805622327	7.805622327	0.023000002	-2.299999952	2.869999886	0.352999447
8.923408130	8.923408130	0.023000002	1.490000010	-1.110000014	0.375999449
9.869415759	9.869415759	0.019999981	2.480000019	-4.179999828	0.395999430
10.701207370	10.701207370	0.031999826	0.449999988	1.610000014	0.427999256
12.268030080	12.268030080	0.022000074	1.379999995	-0.709999979	0.449999330
13.298078560	13.298078560	0.019000053	0.379999995	2.230000019	0.468999383
14.226793670	14.226793670	0.019000053	1.059999943	-0.379999995	0.487999436
15.220731680	15.220731680	0.023000002	0.850000024	1.419999957	0.510999438
16.373760630	16.373760630	0.025000095	-0.100000001	5.010000229	0.535999533
17.588530000	17.588530000	0.022000074	1.700000048	1.210000038	0.557999607
18.731054620	18.731054620	0.023000002	0.310000002	-2.099999905	0.580999609
19.930831170	19.930831170	0.023999929	1.250000000	-0.829999983	0.604999538
21.206978960	21.206978960	0.020999908	0.949999988	0.300000012	0.625999446
22.217426020	22.217426020	0.019999981	-1.419999957	-0.720000029	0.645999427
23.226373760	23.226373760	0.021999836	-1.250000000	0.479999989	0.667999263
24.245927710	24.245927710	0.020999908	-0.310000002	-1.480000019	0.688999171
25.331143360	25.331143360	0.022000074	-0.430000007	-1.649999976	0.710999245
26.461362000	26.461362000	0.020999908	-0.899999976	2.930000067	0.731999153
27.579832250	27.579832250	0.022000074	-1.039999962	1.659999967	0.753999227
28.689671630	28.689671630	0.021999836	0.100000001	-5.750000000	0.775999063
29.821379180	29.821379180	0.036000013	1.779999971	0.930000007	0.811999076
31.546693490	31.546693490	0.026999950	-0.879999995	0.449999988	0.838999026
32.929243420	32.929243420	0.022000074	1.309999943	-1.830000043	0.860999100
33.989504600	33.989504600	0.019000053	1.330000043	-4.280000210	0.879999153
35.041422950	35.041422950	0.021000147	-1.629999995	1.409999967	0.900999300
36.186752150	36.186752150	0.021000147	-1.470000029	-0.140000001	0.921999447
37.329354480	37.329354480	0.022000074	0.709999979	-1.940000057	0.943999521
38.445061510	38.445061510	0.019999981	1.600000024	-1.679999948	0.963999502
39.509415060	39.509415060	0.023000002	1.549999952	-0.129999995	0.986999504
40.767736860	40.767736860	0.023999929	2.109999895	-0.140000001	1.010999433
41.945877160	41.945877160	0.022000074	-0.810000002	3.349999905	1.032999507
43.150860500	43.150860500	0.019999981	0.709999979	-4.090000153	1.052999488
44.256344920	44.256344920	0.019999981	0.140000001	-2.769999981	1.072999469
45.261755880	45.261755880	0.020999908	0.409999996	-2.789999962	1.093999377
46.375139340	46.375139340	0.021000147	-0.319999993	0.370000005	1.114999524
47.552848300	47.552848300	0.021000147	-0.949999988	3.779999971	1.135999671
48.749556260	48.749556260	0.022000074	-0.850000024	1.039999962	1.157999745
49.949610820	49.949610820	0.036000013	0.589999974	-0.079999998	1.193999758
51.689581190	51.689581190	0.020999908	-0.959999979	1.639999986	1.214999666
52.966033320	52.966033320	0.019999981	-0.680000007	2.829999924	1.234999647
54.007671520	54.007671520	0.022000074	0.680000007	-1.509999990	1.256999721
55.250769740	55.250769740	0.021000147	1.990000010	-4.579999924	1.277999868
56.431984140	56.431984140	0.023999929	-0.029999999	-0.660000026	1.301999797
57.685587760	57.685587760	0.022000074	-0.409999996	-0.419999987	1.323999871
58.863471050	58.863471050	0.020999908	-1.830000043	1.429999948	1.344999779
60.044029470	60.044029470	0.022000074	-0.740000010	2.539999962	1.366999853
61.260254190	61.260254190	0.023999929	-0.270000011	1.009999990	1.390999782
62.533877120	62.533877120	0.022000074	-0.219999999	-1.769999981	1.412999856
63.693531280	63.693531280	0.023000002	1.370000005	-2.839999914	1.435999858
64.937254790	64.937254790	0.022000074	0.639999986	-2.400000095	1.457999932
66.170985440	66.170985440	0.022000074	-0.639999986	1.149999976	1.480000006
67.333601110	67.333601110	0.022000074	-0.560000002	-1.289999962	1.502000080
68.529975260	68.529975260	0.023000002	-1.799999952	3.289999962	1.525000082
69.770470640	69.770470640	0.022000074	-1.669999957	0.970000029	1.547000156
70.987878000	70.987878000	0.034999847	0.349999994	-2.230000019	1.582000003
72.689576700	72.689576700	0.021000147	-1.100000024	1.299999952	1.603000150
73.916124260	73.916124260	0.021000147	-1.679999948	1.440000057	1.624000297
75.061230650	75.061230650	0.019000053	-1.179999948	-0.790000021	1.643000350
76.043318170	76.043318170	0.019999981	0.219999999	-1.879999995	1.663000331
77.198232930	77.198232930	0.022000074	2.329999924	-1.549999952	1.685000405
78.410620260	78.410620260	0.019999981	-0.230000004	-3.619999886	1.705000386
79.434023490	79.434023490	0.098000050	-1.340000033	0.660000026	1.803000436
