x	y	time	xaccel	yaccel	cumulative_time	xaccel_filtered_iir	yaccel_filtered_iir
0.000000000	0.000000000	0.040999889	0.000000000	-0.600000024	0.040999889	0.000030092	-0.600001605
0.012682637	0.012682637	0.023000002	0.280000001	-0.790000021	0.063999891	1.892090934	0.004707449
0.179981355	0.179981355	0.023000002	4.510000229	3.230000019	0.086999893	3.542239437	0.109408343
0.353845296	0.353845296	0.020999908	4.469999790	-2.710000038	0.107999801	4.656366220	-0.311329473
0.644314745	0.644314745	0.019999981	5.710000038	-1.070000052	0.127999782	4.990622662	-0.824598394
1.057953983	1.057953983	0.019999981	3.289999962	-0.449999988	0.147999763	4.521174726	-0.975738797
1.522391513	1.522391513	0.019999981	4.929999828	-1.389999986	0.167999744	3.495796289	-0.655253651
2.020307850	2.020307850	0.020999908	0.589999974	2.599999905	0.188999652	2.324268845	-0.087053963
2.657527043	2.657527043	0.023000002	2.819999933	-2.670000076	0.211999654	1.404258508	0.402255130
3.351782294	3.351782294	0.026999950	1.470000029	0.610000014	0.238999604	0.964173408	0.560798645
4.313941004	4.313941004	0.020999908	-1.429999948	3.000000000	0.259999512	0.952993584	0.308630419
5.029198666	5.029198666	0.023000002	1.620000005	-1.690000057	0.282999514	1.060805697	-0.199753209
5.944340172	5.944340172	0.023999929	3.220000029	-0.540000021	0.306999443	0.968297193	-0.663517949
6.929097898	6.929097898	0.023000002	0.490000010	-3.470000029	0.329999445	0.667561802	-0.895880176
7.805622327	7.805622327	0.023000002	-2.299999952	2.869999886	0.352999447	0.467511941	-0.962295469
8.923408130	8.923408130	0.023000002	1.490000010	-1.110000014	0.375999449	0.615246435	-0.996668381
9.869415759	9.869415759	0.019999981	2.480000019	-4.179999828	0.395999430	0.993453373	-0.963485308
10.701207370	10.701207370	0.031999826	0.449999988	1.610000014	0.427999256	1.260169108	-0.692507030
12.268030080	12.268030080	0.022000074	1.379999995	-0.709999979	0.449999330	1.208709725	-0.081622206
13.298078560	13.298078560	0.019000053	0.379999995	2.230000019	0.468999383	0.922049551	0.797668919
14.226793670	14.226793670	0.019000053	1.059999943	-0.379999995	0.487999436	0.642020623	1.697869171
15.220731680	15.220731680	0.023000002	0.850000024	1.419999957	0.510999438	0.564042722	2.230782565
16.373760630	16.373760630	0.025000095	-0.100000001	5.010000229	0.535999533	0.717024968	2.052169302
17.588530000	17.588530000	0.022000074	1.700000048	1.210000038	0.557999607	0.950890003	1.180770801
18.731054620	18.731054620	0.023000002	0.310000002	-2.099999905	0.580999609	1.022940047	0.087622370
19.930831170	19.930831170	0.023999929	1.250000000	-0.829999983	0.604999538	0.761407224	-0.666727447
21.206978960	21.206978960	0.020999908	0.949999988	0.300000012	0.625999446	0.208549282	-0.877522561
22.217426020	22.217426020	0.019999981	-1.419999957	-0.720000029	0.645999427	-0.396056541	-0.722364416
23.226373760	23.226373760	0.021999836	-1.250000000	0.479999989	0.667999263	-0.808075679	-0.437246520
24.245927710	24.245927710	0.020999908	-0.310000002	-1.480000019	0.688999171	-0.957094799	-0.125612593
25.331143360	25.331143360	0.022000074	-0.430000007	-1.649999976	0.710999245	-0.917060974	0.124491583
